index,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,Stage,TimePoint,Species,State
SRR6764868,0.0,0.0,355.0,132.0,2.0,167.0,76.0,6.0,0.0,6.0,0.0,202.0,79.0,0.0,98.0,19.0,9.0,379.0,6.0,67.0,0.0,Control,TP11,BT642,Watrered
SRR6764869,2.0,2.0,1097.0,612.0,0.0,485.0,271.0,0.0,0.0,31.0,0.0,761.0,330.0,5.0,489.0,22.0,26.0,1605.0,22.0,154.0,0.0,Pre_flowering,TP11,BT642,Recovery
SRR6764583,0.0,0.0,423.0,108.0,4.0,189.0,54.0,5.0,0.0,6.0,0.0,70.0,104.0,0.0,111.0,2.0,10.0,556.0,18.0,78.0,0.0,Control,TP17,BT642,Watrered
SRR6764667,0.0,0.0,226.0,163.0,0.0,131.0,40.0,5.0,0.0,6.0,0.0,212.0,68.0,0.0,92.0,5.0,9.0,495.0,3.0,41.0,0.0,Post_flowering,TP9,BT642,Watered
SRR6764374,3.0,9.0,344.0,210.0,2.0,118.0,65.0,4.0,0.0,7.0,0.0,313.0,89.0,0.0,79.0,2.0,9.0,474.0,2.0,58.0,0.0,Pre_flowering,TP12,BT642,Recovery
SRR6764459,0.0,0.0,225.0,101.0,0.0,88.0,31.0,0.0,0.0,4.0,0.0,135.0,76.0,0.0,81.0,0.0,0.0,364.0,0.0,97.0,0.0,Pre_flowering,TP14,RT430,Recovery
SRR6764846,3.0,6.0,457.0,259.0,9.0,154.0,114.0,6.0,0.0,7.0,0.0,238.0,112.0,0.0,152.0,22.0,13.0,976.0,2.0,151.0,0.0,Post_flowering,TP16,RT430,Drought
SRR6764574,2.0,2.0,264.0,197.0,0.0,93.0,57.0,4.0,0.0,8.0,0.0,172.0,66.0,0.0,81.0,0.0,7.0,381.0,0.0,41.0,0.0,Pre_flowering,TP12,RT430,Recovery
SRR6764373,0.0,2.0,496.0,482.0,2.0,241.0,109.0,6.0,0.0,16.0,0.0,709.0,112.0,0.0,157.0,17.0,10.0,975.0,6.0,125.0,0.0,Post_flowering,TP12,BT642,Drought
SRR6764584,2.0,4.0,763.0,100.0,14.0,267.0,91.0,2.0,0.0,10.0,0.0,126.0,178.0,3.0,103.0,6.0,14.0,719.0,12.0,93.0,0.0,Control,TP17,RT430,Watrered
SRR6764800,2.0,11.0,215.0,168.0,0.0,68.0,25.0,0.0,0.0,7.0,0.0,334.0,44.0,0.0,127.0,2.0,2.0,274.0,2.0,26.0,0.0,Control,TP5,BT642,Watrered
SRR6765024,0.0,0.0,372.0,335.0,0.0,131.0,79.0,2.0,0.0,11.0,0.0,512.0,110.0,3.0,68.0,0.0,0.0,671.0,2.0,44.0,0.0,Pre_flowering,TP3,RT430,Watered
SRR6764415,2.0,8.0,447.0,133.0,10.0,199.0,35.0,2.0,0.0,8.0,1.0,180.0,108.0,0.0,184.0,0.0,10.0,457.0,0.0,82.0,0.0,Control,TP6,BT642,Watrered
SRR6764833,0.0,16.0,330.0,150.0,2.0,84.0,54.0,0.0,0.0,9.0,0.0,215.0,71.0,0.0,86.0,3.0,2.0,346.0,0.0,84.0,0.0,Post_flowering,TP15,RT430,Drought
SRR6764499,3.0,12.0,168.0,116.0,2.0,89.0,24.0,0.0,0.0,4.0,0.0,221.0,56.0,0.0,104.0,0.0,0.0,259.0,2.0,17.0,0.0,Control,TP5,RT430,Watrered
SRR6764431,0.0,5.0,309.0,99.0,4.0,126.0,30.0,0.0,0.0,4.0,0.0,125.0,60.0,3.0,100.0,0.0,6.0,481.0,1.0,30.0,0.0,Control,TP15,BT642,Watrered
SRR6764419,2.0,6.0,226.0,319.0,2.0,68.0,77.0,2.0,0.0,8.0,0.0,426.0,35.0,0.0,58.0,0.0,8.0,360.0,0.0,38.0,0.0,Pre_flowering,TP6,BT642,Drought
SRR6764841,0.0,2.0,397.0,178.0,3.0,146.0,127.0,18.0,0.0,11.0,0.0,439.0,90.0,2.0,115.0,16.0,7.0,538.0,6.0,27.0,0.0,Pre_flowering,TP10,RT430,Recovery
SRR6764935,15.0,4.0,757.0,243.0,0.0,182.0,109.0,0.0,1.0,14.0,0.0,378.0,207.0,0.0,122.0,11.0,5.0,782.0,19.0,68.0,0.0,Pre_flowering,TP9,BT642,Recovery
SRR6765012,5.0,16.0,331.0,103.0,0.0,155.0,38.0,2.0,0.0,7.0,0.0,192.0,101.0,0.0,73.0,2.0,2.0,351.0,0.0,30.0,0.0,Control,TP15,RT430,Watrered
SRR6764918,0.0,0.0,478.0,275.0,2.0,266.0,101.0,2.0,0.0,12.0,0.0,336.0,122.0,0.0,135.0,4.0,8.0,808.0,11.0,81.0,0.0,Pre_flowering,TP13,BT642,Recovery
SRR6764825,0.0,2.0,221.0,152.0,2.0,98.0,40.0,0.0,0.0,17.0,0.0,261.0,95.0,0.0,88.0,0.0,2.0,548.0,0.0,35.0,0.0,Control,TP1,BT642,Watrered
SRR6764344,0.0,5.0,372.0,193.0,6.0,173.0,36.0,3.0,0.0,5.0,0.0,142.0,109.0,0.0,264.0,12.0,9.0,445.0,0.0,64.0,0.0,Control,TP6,RT430,Watrered
